GHCN ID,Station Name,State,County,Latitude,Longitude,13/03/2017,14/03/2017,15/03/2017,16/03/2017
US1PACH0014,NOTTINGHAM 1.5 SW,PA,CHESTER,-76.05,39.74,0.0,4.0,2.0,0.0
USC00366508,OCTORARO LAKE,PA,LANCASTER,-76.05,39.8,0.0,7.0,0.0,0.0
US1PABR0019,OLEY 1.9 E,PA,BERKS,-75.75,40.39,0.0,7.3,0.8,0.0
US1PAWN0037,OREGON - 23,PA,WAYNE,-75.22,41.62,0.0,0.0,0.0,0.0
US1PAAD0048,ORRTANNA 0.3 W,PA,ADAMS,-77.37,39.84,0.0,0.0,0.0,0.0
US1PAAD0035,ORRTANNA 1.6 NE,PA,ADAMS,-77.34,39.86,0.0,0.0,0.0,0.0
US1PAAD0006,ORRTANNA 3.2 NNW,PA,ADAMS,-77.38,39.89,0.0,0.0,0.0,0.0
US1PAAD0054,ORRTANNA 5.7 NNW,PA,ADAMS,-77.4,39.92,0.0,0.0,0.0,0.0
US1PASC0003,ORWIGSBURG 1.9 W,PA,SCHUYLKILL,-76.14,40.66,0.0,0.0,0.0,0.0
USC00366649,OSWAYO 1 ENE,PA,POTTER,-78.01,41.92,0.0,3.0,3.0,1.6
US1PACB0004,PALMERTON 5.8 ENE,PA,CARBON,-75.52,40.84,0.0,9.5,3.0,1.0
US1PAAL0009,PATHFINDER,PA,ALLEGHENY,-80.05,40.34,0.0,0.0,2.5,0.0
US1PADP0006,PAXTONIA 1.7 E,PA,DAUPHIN,-76.76,40.31,0.0,15.0,3.0,1.0
US1PABK0013,PENNDEL 1.1 WSW,PA,BUCKS,-74.93,40.15,0.0,6.0,2.0,0.0
US1PAMT0092,PENNSBURG 1.6 SSW,PA,MONTGOMERY,-75.51,40.37,0.0,5.0,0.0,0.0
US1PABK0005,PERKASIE 1.6 SSE,PA,BUCKS,-75.29,40.35,0.0,0.0,0.0,0.0
US1PAMT0076,PERKIOMENVILLE 4.6 SW,PA,MONTGOMERY,-75.55,40.28,0.0,0.0,0.0,0.0
US1PAPH0004,PHILADELPHIA 4.7 NE,PA,PHILADELPHIA,-75.08,40.06,0.0,3.0,0.0,0.0
USC00366886,PHILADELPHIA FRANKLIN INSTITUTE,PA,PHILADELPHIA,-75.17,39.96,0.0,4.0,4.0,0.0
USW00013739,PHILADELPHIA INTL AP,PA,PHILADELPHIA,-75.23,39.87,1.2,4.8,0.0,0.0
USC00366921,PHILIPSBURG 2 S,PA,CENTRE,-78.22,40.87,0.0,3.1,3.6,0.2
US1PACH0035,PHOENIXVILLE 2.9 W,PA,CHESTER,-75.57,40.14,0.0,6.7,0.0,0.0
USC00366955,PINE GROVE FURNACE,PA,CUMBERLAND,-77.3,40.03,0.0,0.0,0.0,0.0
USW00094823,PITTSBURGH ASOS,PA,ALLEGHENY,-80.21,40.48,0.0,1.2,1.8,0.0
USC00367029,PLEASANT MOUNT 1 W,PA,WAYNE,-75.45,41.74,0.0,0.0,0.0,0.0
US1PAFY0002,POINT MARION 1.0 SE,PA,FAYETTE,-79.89,39.72,0.0,0.2,1.4,0.0
USC00367073,POINT MARION LOCK 8,PA,GREENE,-79.91,39.73,0.0,0.0,0.0,0.0
USC00367103,PORT ALLEGANY,PA,MCKEAN,-78.29,41.82,0.0,2.1,2.0,3.1
US1PACN0018,PORT MATILDA 2.2 ESE,PA,CENTRE,-78.01,40.79,0.0,4.5,4.5,1.1
USC00367167,PRINCE GALLITZIN ST PARK,PA,CAMBRIA,-78.56,40.65,0.0,1.9,2.4,0.5
US1PAWN0035,PROMPTON - 25,PA,WAYNE,-75.34,41.58,0.0,0.0,0.0,0.0
USC00367186,PROMPTON DAM,PA,WAYNE,-75.33,41.59,0.0,7.0,23.0,0.0
USC00367229,PUTNEYVILLE 2 SE DAM,PA,ARMSTRONG,-79.28,40.92,0.0,0.5,0.5,0.0
US1PABD0005,RAINSBURG 5.0 NNW,PA,BEDFORD,-78.56,39.96,0.0,10.3,0.0,0.0
US1PABD0004,RAINSBURG 9.0 SSE,PA,BEDFORD,-78.43,39.78,0.0,9.5,1.0,0.0
US1PABR0008,READING 1.2 SW,PA,BERKS,-75.94,40.33,0.0,0.0,0.0,0.0
US1PABR0017,READING 3.5 NNW,PA,BERKS,-75.94,40.39,0.0,0.0,0.0,0.0
US1PABR0002,READING 3.5 SW,PA,BERKS,-75.99,40.32,0.0,9.0,2.8,0.0
US1PABR0029,READING 4.7 WSW,PA,BERKS,-76.01,40.31,0.0,9.0,3.0,0.0
USW00014712,READING SPAATZ FIELD,PA,BERKS,-75.97,40.37,0.0,2.0,0.0,0.0
USC00367409,RENOVO,PA,CLINTON,-77.74,41.33,0.0,2.5,3.5,0.5
USC00367477,RIDGWAY,PA,ELK,-78.75,41.42,0.0,1.0,1.0,1.0
US1PAAL0039,ROBINSON TOWNSHIP 2.2 WNW,PA,ALLEGHENY,-80.17,40.47,0.0,0.0,0.0,0.0
US1PAPH0002,ROCKLEDGE 1.3 SE,PA,PHILADELPHIA,-75.07,40.07,0.0,3.5,0.0,0.0
US1PAPT0002,ROULETTE 1.8 NNE,PA,POTTER,-78.14,41.81,0.0,2.0,5.5,0.5
USC00367732,SAFE HARBOR DAM,PA,LANCASTER,-76.39,39.9,0.0,6.0,1.0,0.0
USC00367782,SALINA 3 W,PA,WESTMORELAND,-79.55,40.51,0.0,0.0,1.0,2.0
US1PALN0013,SALUNGA-LANDISVILLE 1.1 SSE,PA,LANCASTER,-76.41,40.08,0.0,8.5,1.0,0.0
US1PAMR0011,SANDY LAKE 1.8 ENE,PA,MERCER,-80.05,41.35,0.0,0.0,2.0,0.7
US1PAMN0011,SAYLORSBURG 2.7 ENE,PA,MONROE,-75.37,40.9,0.0,0.0,0.0,1.0
US1PAMN0013,SAYLORSBURG 2.8 W,PA,MONROE,-75.37,40.9,0.0,8.1,5.8,1.9
US1PAMN0014,SAYLORSBURG 4.0 W,PA,MONROE,-75.4,40.89,0.0,8.6,11.6,0.0
US1PABF0014,SAYRE 2.8 WNW,PA,BRADFORD,-76.57,42.0,0.0,0.0,0.0,0.0
US1PABD0007,SCHELLSBURG 2.6 WNW,PA,BEDFORD,-78.69,40.07,0.0,8.0,8.0,0.0
USC00367863,SCHENLEY LOCK 5,PA,ARMSTRONG,-79.67,40.68,0.0,0.0,0.1,1.0
US1PALH0017,SCHNECKSVILLE 1.7 ENE,PA,LEHIGH,-75.59,40.68,0.0,8.5,5.5,0.0
US1PALH0005,SCHNECKSVILLE 2.7 SW,PA,LEHIGH,-75.65,40.65,0.0,8.0,6.0,0.5
US1PAAL0031,SCOTT TOWNSHIP 1.3 NW,PA,ALLEGHENY,-80.1,40.4,0.0,0.0,0.0,0.0
US1PALC0017,SCRANTON 1.5 ESE,PA,LACKAWANNA,-75.64,41.39,0.0,0.0,0.0,0.0
US1PALC0022,SCRANTON 1.6 NNE,PA,LACKAWANNA,-75.65,41.42,0.0,10.4,17.3,2.1
USC00367931,SELINSGROVE 2 S,PA,SNYDER,-76.86,40.78,0.0,8.4,8.6,0.0
US1PASN0002,SELINSGROVE 2.6 WNW,PA,SNYDER,-76.91,40.82,0.0,8.9,8.9,0.0
USC00367938,SELLERSVILLE,PA,BUCKS,-75.32,40.36,0.0,6.1,1.7,0.0
US1PAVN0005,SENECA 0.7 NNE,PA,VENANGO,-79.7,41.38,0.0,0.0,2.0,0.0
USC00368073,SHIPPENSBURG,PA,CUMBERLAND,-77.52,40.06,1.0,9.6,0.2,0.0
US1PAMT0020,SKIPPACK 1.4 SSW,PA,MONTGOMERY,-75.41,40.2,0.0,0.0,0.0,0.0
US1PAMT0085,SKIPPACK 2.6 ESE,PA,MONTGOMERY,-75.36,40.2,0.0,4.5,2.5,0.0
USC00368184,SLIPPERY ROCK 1 SSW,PA,BUTLER,-80.06,41.06,0.0,0.0,1.8,0.1
USC00368244,SOMERSET,PA,SOMERSET,-79.08,40.0,0.0,3.2,4.0,1.5
US1PAAL0003,SOUTH FAYETTE 2 SE,PA,ALLEGHENY,-80.12,40.34,0.0,0.0,0.0,0.0
USC00368308,SOUTH MOUNTAIN,PA,FRANKLIN,-77.48,39.86,0.0,0.0,1.5,0.0
USC00368361,SPRINGBORO 3 WNW,PA,CRAWFORD,-80.42,41.82,0.3,4.0,9.8,0.2
USC00368400,SPRINGTOWN 1 NNE,PA,BUCKS,-75.28,40.57,0.0,7.3,7.7,0.0
US1PAEL0001,ST. MARYS 1.7 SE,PA,ELK,-78.53,41.41,0.6,1.1,1.4,2.9
US1PASS0012,STANFORDVILLE 0.4 SE,PA,SUSQUEHANNA,-75.83,41.95,0.0,4.7,24.0,3.0
US1PAWN0010,STARRUCCA - 27,PA,WAYNE,-75.47,41.9,0.0,0.0,27.0,0.0
USC00368449,STATE COLLEGE,PA,CENTRE,-77.87,40.79,0.0,6.3,3.8,0.0
US1PACN0003,STATE COLLEGE 2.4 ENE,PA,CENTRE,-77.82,40.81,0.0,7.5,2.1,0.1
US1PACN0005,STATE COLLEGE 2.6 NW,PA,CENTRE,-77.9,40.82,0.0,6.5,2.2,0.3
US1PAWN0004,STERLING - 22,PA,WAYNE,-75.45,41.28,0.0,11.5,15.5,0.5
USC00368469,STEVENSON DAM,PA,CAMERON,-78.02,41.4,0.0,2.2,3.5,0.0
USC00368596,STROUDSBURG,PA,MONROE,-75.19,41.01,0.7,0.0,0.0,0.0
US1PAMN0007,STROUDSBURG 5.1 W,PA,MONROE,-75.3,40.99,0.0,0.0,0.0,0.0
USC00368668,SUNBURY,PA,NORTHUMBERLAND,-76.79,40.85,0.0,12.5,7.0,0.0
USC00368692,SUSQUEHANNA,PA,SUSQUEHANNA,-75.6,41.95,0.0,7.0,19.0,2.2
USC00368763,TAMAQUA 4 N DAM,PA,SCHUYLKILL,-76.0,40.85,0.0,15.0,2.0,0.0
US1PAJF0002,TIMBLIN 0.1 S,PA,JEFFERSON,-79.2,40.96,0.0,0.5,1.5,0.0
USC00368868,TIOGA HAMMOND DAM,PA,TIOGA,-77.14,41.9,0.0,3.0,5.0,0.0
USC00368873,TIONESTA 2 SE LAKE,PA,FOREST,-79.44,41.48,0.0,0.4,1.0,1.0
US1PAFR0001,TIONESTA 7.3 SSE,PA,FOREST,-79.41,41.39,0.5,2.0,1.0,0.0
US1PAVN0011,TITUSVILLE 6.3 SW,PA,VENANGO,-79.76,41.57,0.0,0.2,3.4,0.5
USC00368888,TITUSVILLE WATER WORKS,PA,CRAWFORD,-79.69,41.63,0.0,1.0,3.0,2.0
USC00368905,TOWANDA 1 S,PA,BRADFORD,-76.44,41.75,0.0,9.3,18.8,1.4
US1PABF0006,TOWANDA 4.6 NNE,PA,BRADFORD,-76.42,41.84,0.0,17.0,11.0,3.0
US1PAWY0002,TUNKHANNOCK 4.0 NW,PA,WYOMING,-76.01,41.58,0.0,0.0,0.0,0.0
US1PAWY0001,TUNKHANNOCK 4.2 NNW,PA,WYOMING,-75.97,41.6,0.0,24.0,1.0,0.0
USC00369022,TYRONE,PA,BLAIR,-78.22,40.66,0.0,4.0,0.0,0.0
US1PAFY0009,UNIONTOWN 1.7 NNE,PA,FAYETTE,-79.71,39.92,0.0,1.0,0.5,0.0
US1PACH0011,UNIONVILLE 2.2 NE,PA,CHESTER,-75.7,39.92,0.0,7.0,0.0,0.0
US1PAYR0008,VALLEY GREEN 0.8 ENE,PA,YORK,-76.78,40.16,0.0,8.5,11.0,0.0
US1PAWS0008,VENETIA 0.7 WNW,PA,WASHINGTON,-80.05,40.25,0.0,0.0,0.0,0.0
